"latin_binomial"	"common_name"
Centaurium erythraea	Small centaury
Ceratonia siliqua	Bread- St John's
Ceratonia siliqua	Carob
Ceratonia siliqua	Ceratonia
Ceratonia siliqua	Locust-bean
Ceratonia siliqua	St. John's-bread
Ceratonia siliqua	St John's bread
Chelidonium majus	Celandine
Chelidonium majus	Great celandine
Chelidonium majus	Greater celandine
Chelidonium majus	Nipplewort
Chelidonium majus	Swallowwort
Chimaphila umbellata	Bitter wintergreen
Chimaphila umbellata	Ground ivy
Chimaphila umbellata	Pipsissewa
Chimaphila umbellata	Pipsissiwa
Chimaphila umbellata	Prince's-pine
Chionanthus virginicus	Fringetree
Chionanthus virginicus	Old-man's-beard
Chionanthus virginicus	Poison-ash
Cichorium intybus	Belgium endive
Cichorium intybus	Chicory
Cichorium intybus	Radicchio
Cinnamomum burmanni	Bataviacinnamon
Cinnamomum camphora	Camphor
Cinnamomum camphora	Camphor laurel
Cinnamomum camphora	Camphortree
Cinnamomum camphora	Camphor tree
Cinnamomum camphora	Japanese camphor
Cinnamomum camphora	Kuso-no-ki
Cinnamomum cassia	Cassia
Cinnamomum cassia	Cassia cinnamon
Cinnamomum cassia	Chinese cinnamon
Cinnamomum cassia	Chinese cinnamon tree
Cinnamomum cassia	Rou gui
Cinnamomum verum	Ceylon cinnamon
Cinnamomum verum	Cinnamon
Cinnamomum verum	True cinnamon
Cinnamomum verum	Tvak
Cistus creticus	Hairyrockrose
Citrullus lanatus	Watermelon
Citrus aurantium	Bitter orange
Citrus aurantium	Seville orange
Citrus aurantium	Suan cheng
Citrus reticulata	Ju
Citrus reticulata	Mandarin orange
Citrus reticulata	Tangerine
Citrus sinensis	Blood orange
Citrus sinensis	Navel orange
Citrus sinensis	Red orange
Citrus sinensis	Sweet orange
Citrus sinensis	Tian cheng
Citrus sinensis	Valencia orange
Codonopsis pilosula	Bellflower
Codonopsis pilosula	Dang shen
Cola nitida	Bitter cola
Cola nitida	Gbanja kola
Cola nitida	Kola
Commiphora mukul	Guggul
Commiphora mukul	Gugul
Commiphora mukul	Indian bdellium-tree
Conyza canadensis	Butterweed
Conyza canadensis	Canadian horseweed
Coptis chinensis	Chinese goldthread
Coptis chinensis	Golden thread
Coptis chinensis	Huanglian
Coptis chinensis	Huang lian
Cordyceps militaris	Cordycepsmilitaris
Coriandrum sativum	Chinese parsley
Coriandrum sativum	Chinese-parsley
Coriandrum sativum	Cilantro
Coriandrum sativum	Coriander
Coriandrum sativum	Parsley- Chinese
Cornus officinalis	Asiatic cornelian cherry
Cornus officinalis	Asiatic dogwood
Cornus officinalis	Shan zhu yu
Corylus avellana	Cobnut
Corylus avellana	European filbert
Corylus avellana	European hazel
Corylus avellana	Giant filbert
Corylus avellana	Hazel
Corylus avellana	Hazelnut tree
Crataegus laevigata	English hawthorn
Crataegus laevigata	Hawthorn
Crataegus laevigata	Maytree
Crataegus laevigata	Two-style hawthorn
Crataegus laevigata	Whitethorn
Crataegus laevigata	Woodland hawthorn
Crataegus monogyna	Hawthorn
Crataegus monogyna	Oneseed hawthorn
Crataegus monogyna	One-style hawthorn
Crithmum maritimum	Rock samphire
Crithmum maritimum	Sea-fennel
Cuminum cyminum	Cumin
Curcuma longa	Common turmeric
Curcuma longa	Curcuma
Curcuma longa	Indian-saffron
Curcuma longa	Jianghuang
Curcuma longa	Turmeric
Curcuma longa	Yellow ginger
Curcuma zedoaria	Karcura
Cyperus rotundus	Coco-grass
Cyperus rotundus	Nutgrass
Cyperus rotundus	Nut-grass
Cyperus rotundus	Nutgrass alingale
Cyperus rotundus	Nut sedge
Cyperus rotundus	Purple nut sedge
Cyperus rotundus	Red nut sedge
Cyperus rotundus	Suo cao
Cyperus rotundus	Xiangfu
Cyperus rotundus	Xiang fu zi
Daucus carota	Carrot
Dioscorea villosa	Chinaroot
Dioscorea villosa	Wild yam
Diospyros virginiana	Americanpersimmon
Echinacea angustifolia	Black sampson
Echinacea angustifolia	Black-sampson echinacea
Echinacea angustifolia	Echinacea
Echinacea angustifolia	Kansas snakeroot
Echinacea angustifolia	Narrow-leaf coneflower
Echinacea angustifolia	Narrow-leaf echinacea
Echinacea angustifolia	Narrow-leaf purple-coneflower
Echinacea purpurea	Eastern purple-coneflower
Echinacea purpurea	Echinacea
Echinacea purpurea	Purple-coneflower
Eleutherococcus senticosus	Ci wu jia
Eleutherococcus senticosus	Eleuthero
Eleutherococcus senticosus	Siberian ginseng
Elymus repens	Couchgrass
Emilia sonchifolia	Cupid's shaving-brush
Emilia sonchifolia	Emilia
Emilia sonchifolia	Sow thistle
Epimedium grandif	Barrenwort
Epimedium grandif	Japanese epimedium
Epimedium grandif	Yin yang huo
Epimedium grandiflorum	Barrenwort
Epimedium grandiflorum	Japanese epimedium
Epimedium grandiflorum	Yin yang huo
Equisetum hyemale	Common scouring-rush
Equisetum hyemale	Mu zei
Eriobotrya japonica	Bibasse
Eriobotrya japonica	Japanese-medlar
Eriobotrya japonica	Loquat
Eriobotrya japonica	Lukwart
Eriobotrya japonica	Nispero
Eriobotrya japonica	Pi ba
Eriodictyon californicum	Mountain balm
Eriodictyon californicum	Yerba-santa
Eruca vesicaria	Arugula
Eruca vesicaria	Garden rock
Eschscholzia californica	California-poppy
Eupatorium purpureum	Gravelroot
Eupatorium purpureum	Green-stem joe-pye-weed
Eupatorium purpureum	Joe-pye
Eupatorium purpureum	Joe-pye-weed
Eupatorium purpureum	Marsh-milkweed
Eupatorium purpureum	Queen-of-the-meadow
Eupatorium purpureum	Sweet joe-pye-weed
Euterpe oleracea	Acai
Euterpe oleracea	Açai
Euterpe oleracea	Assai palm
Euterpe oleracea	Cabbage palm
Ferula elaeochytris	Ferulaelaeochytris
Ficus carica	Fig
Ficus carica	Fig tree
Ficus carica	Wu hua guo
Filipendula ulmaria	Dropwort
Filipendula ulmaria	Meadowsweet
Filipendula ulmaria	Queen-of-the-meadow
Filipendula ulmaria	Xuan guo wen zi cao
Foeniculum vulgare	Fennel
Foeniculum vulgare	Fenouil
Fomes fomentarius	Fomesfomentarius
Frangula alnus	Alder buckthorn
Frangula alnus	Frangula
Frangula alnus	Glossy buckthorn
Fucus vesiculosus	Black tang
Fucus vesiculosus	Bladder fucus
Fucus vesiculosus	Kelpware
Fucus vesiculosus	Seawrack
Fumaria officinalis	Common fumitory
Fumaria officinalis	Fumitory
Fumaria officinalis	Wax-dolls
Galega officinalis	French lilac
Galega officinalis	Galega
Galega officinalis	Goat's-rue
Galium aparine	Catchweed bedstraw
Galium aparine	Cleavers
Galium aparine	Goose-grass
Galium verum	Lady's bedstraw
Galium verum	Yellow bedstraw
Ganoderma lucidum	Ganoderma
Ganoderma lucidum	Ling zhi
Ganoderma lucidum	Reishi
Garcinia gummi	Malabartamarind
Gentiana lutea	Bitterwort
Gentiana lutea	Gentian
Gentiana lutea	Gentian-root
Gentiana lutea	Yellow gentian
Geranium maculatum	Cranesbill
Geranium maculatum	Spotted geranium
Geranium maculatum	Wild geranium
Ginkgo biloba	Baiguo
Ginkgo biloba	Ginkgo
Ginkgo biloba	Ginkgo biloba
Ginkgo biloba	Icho
Ginkgo biloba	Maidenhair-tree
Glycine max	Black soya bean
Glycine max	Da dou
Glycine max	Soy
Glycine max	Soya
Glycine max	Soyabean
Glycine max	Soybean
Glycyrrhiza glabra	Guang guo gan cao
Glycyrrhiza glabra	Licorice
Glycyrrhiza glabra	Liquorice
Glycyrrhiza inflata	Zhangguogancao
Glycyrrhiza uralensis	Chinese licorice
Glycyrrhiza uralensis	Gan cao
Gymnema sylvestre	Gymnema
Gymnema sylvestre	Miracle-fruit
Hamamelis virginiana	Hamamelis
Hamamelis virginiana	Spotted alder
Hamamelis virginiana	Winter bloom
Hamamelis virginiana	Witchazel
Hamamelis virginiana	Witch-hazel
Handroanthus heptaphyllus	Ipe roxo
Handroanthus heptaphyllus	Lapacho
Handroanthus heptaphyllus	Lapacho negro
Handroanthus heptaphyllus	Pau d'Arco
Harpagophytum procumbens	Devil's-claw
Harpagophytum procumbens	Grapple plant
Harpagophytum procumbens	Wood spider
Hedera helix	Engelse hedera
Hedera helix	English ivy
Helichrysum arenarium	Everlasting
Helichrysum arenarium	Immortelle
Helichrysum arenarium	Sandy everlasting
Helichrysum arenarium	Yellow chasteweed
Hordeum vulgare	Da mai
Hydrastis canadensis	Goldenseal
Hydrastis canadensis	Orangeroot
Hydrastis canadensis	Yellow-puccoon
Hydrastis canadensis	Yellow root
Hypericum perforatum	Hypericum
Hypericum perforatum	St. John's wort
Hypericum perforatum	St. John's-wort
Hyssopus officinalis	Hyssop
Ilex paraguariensis	Brazilian tea
Ilex paraguariensis	Mate
Ilex paraguariensis	Paraguayan tea
Ilex paraguariensis	Paraguay tea
Ilex paraguariensis	St Bartholomew's tea
Ilex paraguariensis	Yerba mate
Inonotus obliquus	Chaga
Inula helenium	Elecampane
Inula helenium	Tu mu xiang
Inula helenium	Velvet-dock
Juglans nigra	Blackwalnut
Juglans regia	Walnut
Juncus effusus	Common rush
Juncus effusus	Deng xin cao
Juncus effusus	Soft rush
Juniperus communis	Common juniper
Juniperus communis	Juniper
Juniperus oxycedrus	Cade juniper
Juniperus oxycedrus	Prickly juniper
Juniperus oxycedrus	Red-berry juniper
Juniperus virginiana	Eastern red-cedar
Juniperus virginiana	Pencil-cedar
Juniperus virginiana	Potloodseder
Juniperus virginiana	Red-cedar
Juniperus virginiana	Red juniper
Juniperus virginiana	Rooisede
Leonurus cardiaca	Common motherwort
Leonurus cardiaca	Motherwort
Lepidium	Du xing cai
Lepidium	Pepperweed
Lepidium meyenii	Maca
Lepidium meyenii	Peruvian-ginseng
Levisticum officinale	Lovage
Lilium candidum	Madonna lily
Lilium candidum	White lily
Liquidambar styraciflua	Alligatorwood
Liquidambar styraciflua	American-storax
Liquidambar styraciflua	Red-gum
Liquidambar styraciflua	Satin-walnut
Liquidambar styraciflua	Sweet-gum
Lobaria pulmonaria	Lung lichen
Lobaria pulmonaria	Lungmoss
Lonicera japonica	Japanese honeysuckle
Lonicera japonica	Jin yin hua
Lonicera japonica	Ren dong
Lonicera japonica	Rendongteng
Lycium barbarum	Barbary matrimony-vine
Lycium barbarum	Barbary wolfberry
Lycium barbarum	Chinese wolfberry
Lycium barbarum	Matrimony-vine
Lycium barbarum	Ning xia gou qi
Lycopus americanus	Americanbugleweed
Magnolia grandiflora	Bull bay
Magnolia grandiflora	Laurier tulipier
Magnolia grandiflora	Southern magnolia
Magnolia officinalis	Hou po
Magnolia officinalis	Magnolia-bark
Magnolia virginiana	Sweetbay
Malva sylvestris	Blue mallow
Malva sylvestris	Cheeses
Malva sylvestris	Common mallow
Malva sylvestris	High mallow
Malva sylvestris	Tall mallow
Marrubium vulgare	Horehound
Marrubium vulgare	White horehound
Matricaria chamomilla	Blue chamomile
Matricaria chamomilla	Chamomile
Matricaria chamomilla	Common chamomile
Matricaria chamomilla	German chamomile
Matricaria chamomilla	Hungarian chamomile
Hedera helix	Ivy leaf
Hordeum vulgare	Barley grass
Lycium barbarum	Goji berry
Matricaria chamomilla	Matricaria
Matricaria chamomilla	Scented chamomile
Matricaria chamomilla	Scented mayweed
Matricaria chamomilla	Sweet false chamomile
Matricaria chamomilla	True chamomile
Matricaria chamomilla	Wild chamomile
Medicago polymorpha	Bur medic
Medicago polymorpha	California bur-clover
Medicago polymorpha	Hairy medic
Medicago polymorpha	Toothed bur-clover
Medicago polymorpha	Toothed medic
Melia azedarach	Chinaberry
Melia azedarach	Lian
Melia azedarach	Persian lilac
Melia azedarach	Sichuan pagoda-tree
Melia azedarach	Szechwan chinaberry
Melissa officinalis	Balm
Melissa officinalis	Bee balm
Melissa officinalis	Lemon balm
Melissa officinalis	Melissa
Mentha pulegium	European pennyroyal
Mentha pulegium	Lurk-in-the-Ditch
Mentha pulegium	Mosquito plant
Mentha pulegium	Pennyroyal
Mentha pulegium	Pudding Grass
Mentha pulegium	Pulegium
Mentha pulegium	Run-by-the-Ground
Mentha pulegium	Squaw Balm
Mentha pulegium	Squawmint Tickweed
Mentha spicata	Curled mint
Mentha spicata	Spearmint
Mimosa pudica	Han xiu cao
Mimosa pudica	Sensitive-plant
Mimosa pudica	Touch-me-not
Mitchella repens	Partridge-berry
Mitchella repens	Squawvine
Mitragyna speciosa	Kratom
Mitragyna speciosa	Kratum
Momordica charantia	Balsam-apple
Momordica charantia	Balsam-pear
Momordica charantia	Bitter-cucumber
Momordica charantia	Bitter gourd
Momordica charantia	Bitter melon
Momordica charantia	Carilla gourd
Morella cerifera	Bayberry
Morella cerifera	Candleberry
Morella cerifera	Southern bayberry
Morella cerifera	Southern wax-myrtle
Morella cerifera	Waxberry
Morella cerifera	Wax-myrtle
Morinda citrifolia	Indian-mulberry
Morinda citrifolia	Noni
Morinda citrifolia	Rotten cheesefruit
Moringa oleifera	Ben-oil-tree
Moringa oleifera	Benzolive-tree
Moringa oleifera	Drumsticktree
Moringa oleifera	Horseradish-tree
Moringa oleifera	Malunggay
Moringa oleifera	Moringa
Moringa oleifera	West Indian ben
Myrtus communis	Myrtle
Nepeta cataria	Catmint
Nepeta cataria	Catnep
Nepeta cataria	Catnip
Nepeta cataria	Catswort
Nepeta cataria	Field balm
Nerium oleander	Oleander
Nerium oleander	Rose laurel
Neurolaena lobata	Gavilana
Neurolaena lobata	Jackass bitters
Notopterygium incisum	Notopterygium
Notopterygium incisum	Qiang huo
Nymphaea odorata	Sweetwaterlily
Ocimum tenuiflorum	Holy basil
Ocimum tenuiflorum	Rama tulsi
Ocimum tenuiflorum	Sacred basil
Ocimum tenuiflorum	Tulsi
Olea europaea	Olive
Olea europaea	Olive-leaf
Olea europaea	Olive tree
Ononis spinosa	Ononis
Ononis spinosa	Restharrow
Ononis spinosa	Spiny restharrow
Ononis spinosa	Spring restharrow
Oplopanax horridus	Devil's-club
Origanum compactum	Moroccanoregano
Origanum majorana	Marjoram
Origanum majorana	Sweet marjoram
Origanum syriacum	Biblical hyssop
Origanum syriacum	Lebanese oregano
Origanum syriacum	Syrian oregano
Origanum vulgare	Common Oregano
Origanum vulgare	Oregano
Panax ginseng	Asian ginseng
Panax ginseng	Chinese ginseng
Panax ginseng	Hong shen
Panax ginseng	Korean ginseng
Panax ginseng	Korean red ginseng
Panax ginseng	Oriental ginseng
Panax ginseng	Panax ginseng
Panax ginseng	Red ginseng
Panax ginseng	Ren shen
Papaver rhoeas	Corn poppy
Papaver rhoeas	Field poppy
Papaver rhoeas	Flanders poppy
Papaver rhoeas	Shirley poppy
Parietaria judaica	Pellitory-of-the-wall
Parietaria judaica	Spreading pellitory
Passiflora edulis	Purplegranadilla
Paullinia cupana	Guarana
Pausinystalia johimbe	Yohimbe
Petroselinum crispum	Parsley
Peumus boldus	Boldo
Peumus boldus	Boldo tree
Peumus boldus	Boldu
Phyllanthus amarus	Phyllanthusamarus
Phytolacca americana	Chui xu shang lu
Phytolacca americana	Pigeonberry
Phytolacca americana	Poke
Phytolacca americana	Pokeberry
Phytolacca americana	Pokeroot
Phytolacca americana	Pokeweed
Phytolacca americana	Virginia poke
Pinus mugo	Dwarf pine
Pinus mugo	Mountain pine
Pinus mugo	Mountain pine- Swiss
Pinus mugo	Mugo pine
Pinus mugo	Pine- pumilio
Pinus mugo	Pine- Swiss mountain
Pinus mugo	Pumilio pine
Pinus mugo	Scrub mountain pine
Pinus mugo	Swiss mountain pine
Pinus nigra	Baltic redwood
Pinus nigra	Scotch pine
Pinus nigra	Scots pine
Pinus palustris	Longleaf pine
Pinus palustris	Pitch pine
Pinus sylvestris	Baltic redwood
Pinus sylvestris	Scotch pine
Pinus sylvestris	Scots pine
Piper methysticum	Kava
Piper methysticum	Kava-kava
Piper methysticum	Kava pepper
Piper methysticum	Kawa pepper
Piper methysticum	Yanggona
Piper nigrum	Black pepper
Piper nigrum	Pepper- black
Piper nigrum	Pepper- white
Piper nigrum	White pepper
Piptoporus betulinus	Piptoporusbetulinus
Pistacia lentiscus	Chios mastictree
Pistacia lentiscus	Lentiscus
Plantago major	Broadleaf plantain
Plantago major	Common plantain
Plantago major	Greater plantain
Plantago major	Plantain
Platanus occidentalis	AmericanSycamore
Pogostemon cablin	Cablin patchouli
Pogostemon cablin	Guang huo xiang
Pogostemon cablin	Patchouli-plant
Pogostemon cablin	Patchouly
Posidonia oceanica	Mediterraneantapeweed
Prunella vulgaris	Common selfheal
Prunella vulgaris	Heal-all
Prunella vulgaris	Prunella
Prunella vulgaris	Self-heal
Prunella vulgaris	Woundwort
Prunella vulgaris	Xiakucao
Prunus armeniaca	Apricot
Prunus armeniaca	Siberian apricot
Prunus armeniaca	Xing
Prunus persica	Momo
Prunus persica	Peach
Prunus persica	Tao
Prunus serotina	Black cherry
Prunus serotina	Rum cherry
Prunus serotina	Wild cherry
Prunus spinosa	Blackthorn
Prunus spinosa	Endrino
Pseudognaphalium obtusifolium	Blunt-leaved everlasting
Pseudognaphalium obtusifolium	Fragrant everlasting
Pseudotsuga menziesii	Douglas-fir
Ptelea trifoliata	Hoptree
Ptelea trifoliata	Shrub-trefoil
Quassia amara	Quassia
Quassia amara	Quassia wood
Quercus alba	Stave oak
Quercus alba	White oak
Quercus incana	Bluejackoak
Raphanus raphanistrum	Jointed charlock
Raphanus raphanistrum	Wild radish
Reynoutria multiflora	Fleeceflower
Reynoutria multiflora	Fo-ti
Reynoutria multiflora	He shou wu
Rheum	Himalayan rhubarb
Rheum	Himalaya-Rhabarber
Rheum	Indian rhubarb
Rheum	zang bian da huang
Rheum australe	Himalayan rhubarb
Rheum australe	Himalaya-Rhabarber
Rheum australe	Indian rhubarb
Rheum australe	zang bian da huang
Rheum palmatum	Chinese Rhubarb
Rheum palmatum	Ornamental rhubarb
Rheum palmatum	Rhubarb
Rheum palmatum	Zhang ye da huang
Rhodiola rosea	Hong jing tian
Rhodiola rosea	King's-crown
Rhodiola rosea	Rhodiola
Rhodiola rosea	Roseroot
Rhus coriaria	Sicilian sumac
Rhus coriaria	Tanner's sumac
Robinia pseudoacacia	Black locust
Robinia pseudoacacia	Falsa acacia
Rosa canina	Common briar
Rosa canina	Dogbrier
Rosa canina	Dog rose
Rosmarinus officinalis	Rosemary
Rubus ursinus	Boysenberry
Rumex crispus	Curly dock
Rumex crispus	Sour dock
Rumex crispus	Yellow dock
Ruscus aculeatus	Box-holly
Ruscus aculeatus	Butcher's-broom
Ruta chalepensis	Fringedrue
Ruta graveolens	Rue
Salvia officinalis	Common sage
Salvia officinalis	Dalmatian sage
Salvia officinalis	Garden sage
Salvia officinalis	Sage
Salvia pratensis	Meadow clary
Salvia pratensis	Meadow sage
Salvia sclarea	Clary
Salvia sclarea	Clary sage
Sambucus canadensis	American elder
Sambucus canadensis	Canadian elder
Sambucus canadensis	Sweet Elder
Sambucus nigra	American elder
Sambucus nigra	Canadian elder
Sambucus nigra	Sweet Elder
Sanguinaria canadensis	Bloodroot
Sanguinaria canadensis	Bloodwort
Sanguinaria canadensis	Canadian bloodroot
Sanguinaria canadensis	Red puccoon
Sanguinaria canadensis	Redroot
Sanguinaria canadensis	Tetterwort
Saponaria officinalis	Bouncing-bet
Saponaria officinalis	Soapwort
Saposhnikovia divaricata	Fang feng
Saposhnikovia divaricata	Siler
Sargassum pallidum	Sargassumpallidum
Sassafras albidum	Common sassafras
Sassafras albidum	Sassafras
Sassafras albidum	White sassafras
Satureja montana	Savory
Satureja montana	Winter savory
Schisandra chinensis	Chinese Magnoliavine
Schisandra chinensis	Schisandra
Schisandra chinensis	Wu wei zi
Scutellaria lateriflora	Helmet flower
Scutellaria lateriflora	Hoodwort
Scutellaria lateriflora	Mad-dog scullcap
Scutellaria lateriflora	Quarter bonnet
Scutellaria lateriflora	Scullcap
Scutellaria lateriflora	Skullcap
Scutellaria lateriflora	Virginian skullcap
Senna obtusifolia	Java-bean
Senna obtusifolia	Sicklepod
Senna obtusifolia	Sicklepod senna
Senna occidentalis	Antbush
Senna occidentalis	Coffee senna
Senna occidentalis	Negro-coffee
Senna occidentalis	Stinkingweed
Serenoa repens	Sabal
Serenoa repens	Saw palmetto
Serenoa repens	Saw-palmetto
Serenoa repens	Scrub-palmetto
Silybum marianum	Blessed milk thistle
Silybum marianum	Gundagai thistle
Silybum marianum	Holy thistle
Silybum marianum	Lady's thistle
Silybum marianum	Mary's thistle
Silybum marianum	Mary thistle
Silybum marianum	Milk thistle
Silybum marianum	St. Mary's thistle
Silybum marianum	Variegated thistle
Sisymbrium officinale	Hedgemustard
Solanum anguivi	PoisonBerry
Solidago canadensis	CanadianGoldenrod
Solidago odora	Anise-scent goldenrod
Solidago odora	Fragrant goldenrod
Stachys officinalis	Bishop's-wort
Stachys officinalis	Purple betony
Stachys officinalis	Wood betony
Stillingia sylvatica	Queen's-delight
Stillingia sylvatica	Queen's-root
Stillingia sylvatica	Stillingia
Stillingia sylvatica	Yawroot
Swertia chirata	Chirata
Swertia chirata	Chiretta
Swertia chirata	Kiratatikta
Symphytum officinale	Boneset
Symphytum officinale	Comfrey
Symphytum officinale	Common comfrey
Symphytum officinale	Consound
Symphytum officinale	Healing-herb
Symphytum officinale	Knitbone
Symphytum officinale	Slippery-root
Tamarindus indica	Indian tamarind
Tamarindus indica	Kilytree
Tamarindus indica	Tamarin
Tamarindus indica	Tamarind
Tanacetum parthenium	Feverfew
Tanacetum vulgare	Golden-buttons
Tanacetum vulgare	Tansy
Taraxacum officinale	Common dandelion
Taraxacum officinale	Dandelion
